,amm_FEB,amm_MAY,amm_OCT,amo_FEB,amo_APR,amo_SEP,ao_APR,ao_OCT,epo_FEB,epo_JUN,epo_AUG,epo_SEP,ngst_FEB,ngst_OCT,mdrolr_OCT,mdrslp_JAN,mdrslp_OCT,nao_MAY,pna_JUL,pna_OCT,sfi_FEB,soi_JUN,tna_FEB,tna_MAY,tna_AUG,tna_NOV,tsa_MAR,tsa_SEP,tsa_NOV,whwp_JUL,whwp_AUG,whwp_DEC,wpi_DEC,nino4_JUL,roni_MAY,gomslp_MAR,gomslp_JUL,gomslp_OCT,gomolr_MAY,mdrt200_OCT,mdru850_OCT,mdrv200_JUN,mdrv200_JUL,mdrv200_AUG,mdrv850_MAR,mdrv850_JUL,mdrv850_AUG,gomu850_JUL,gomv200_NOV,nino34_forecast_JUN,nino34_forecast_JUL,nino34_forecast_AUG
0,0.94,3.7,1.27,-0.07,0.05,-0.28,-0.776,-0.379,-1.32,-0.47,1.87,0.98,-51,-6.0,232.7,1014.118,1012.484,-0.5,-0.82,0.7,1019,2.0,-0.17,0.14,-0.16,-0.09,-0.87,-0.51,-0.46,-2.15,-2.62,-0.32,0.07,27.64,0.72,1015.08,1016.252,1013.252,267.859,-54.378,-5.167,0.472,0.768,0.117,-0.756,-0.26,0.083,-3.072,4.089,0.52,0.87,0.71
1,-1.44,2.09,-0.97,0.04,0.02,0.12,0.539,-0.213,-1.09,-0.62,0.41,1.42,17,28.0,245.174,1014.717,1012.224,-0.99,-0.44,0.43,862,0.3,-0.15,0.13,0.19,-0.03,-0.08,0.05,-0.08,-0.09,2.23,0.01,0.2,29.12,0.43,1013.194,1014.995,1014.247,258.112,-53.048,-4.933,-0.223,-0.494,-0.215,-0.728,0.278,0.402,-2.87,-0.9,-0.03,-0.2,-0.0
2,2.8,2.34,2.08,0.07,0.16,0.21,-1.256,-0.437,-1.51,-0.25,1.35,0.35,37,-1.0,237.181,1014.714,1012.839,-0.56,-1.57,1.05,728,1.2,0.41,0.11,0.16,0.28,0.01,-0.04,0.0,-0.17,2.43,-0.06,0.71,28.12,0.89,1015.237,1016.774,1016.218,268.699,-52.965,-6.906,-0.102,0.525,0.654,-0.75,0.202,-0.137,-4.67,0.658,0.9,0.7,0.63
3,0.82,1.68,0.35,-0.01,-0.11,0.09,0.512,-0.194,-1.75,3.88,-0.54,0.12,0,27.0,239.118,1014.604,1012.656,-0.03,0.27,2.27,692,0.2,-0.12,0.05,0.24,0.16,-0.52,0.04,-0.18,0.29,1.63,-0.09,0.84,28.84,-0.11,1014.911,1015.956,1015.001,253.8,-53.442,-5.555,0.439,0.13,0.456,-0.705,0.186,0.223,-2.707,6.257,-0.42,-0.62,-0.88
4,1.62,1.61,-1.69,-0.06,-0.08,-0.22,0.194,0.513,-1.71,-1.64,0.83,0.31,-12,13.0,247.295,1014.37,1012.843,-0.26,-0.14,0.99,820,0.2,0.07,-0.12,-0.13,-0.17,-0.45,-0.25,-0.12,-1.75,-0.8,-0.24,-1.42,27.81,-0.41,1015.802,1015.048,1014.976,270.154,-54.381,-5.935,0.162,0.646,0.405,-1.085,0.071,-0.067,-2.69,3.587,-0.67,-0.58,-0.8
5,3.56,0.16,3.55,-0.02,-0.1,0.14,-0.868,0.099,-1.99,-2.84,0.61,-0.15,-32,12.0,233.989,1012.84,1012.049,2.1,-1.32,0.51,1672,2.2,0.24,-0.29,0.17,0.45,-0.57,-0.41,-0.2,-1.95,-0.91,-0.32,-1.28,28.04,0.12,1016.363,1015.068,1014.653,254.113,-53.77,-4.844,0.144,0.013,-0.7,-0.662,0.056,0.174,-3.526,5.62,-0.48,-0.58,-0.65
6,-2.24,-1.4,0.05,-0.12,-0.16,-0.3,0.238,1.139,-0.98,-1.95,1.92,0.98,-5,-28.0,239.62,1016.214,1012.758,-0.68,-1.28,-2.16,1867,1.8,-0.55,-0.35,-0.2,-0.08,-0.07,-0.19,-0.43,-1.88,-1.53,-0.24,-2.76,27.86,1.09,1013.285,1017.018,1015.241,249.9,-54.334,-5.33,-0.087,0.509,0.382,-0.414,-0.103,-0.103,-3.304,5.667,1.05,1.34,1.36
7,4.02,7.87,1.62,0.16,0.3,0.11,-0.36,0.903,0.13,1.71,0.49,1.78,28,6.0,249.342,1013.363,1012.594,-0.17,-0.11,0.46,2122,0.3,0.66,0.72,0.19,0.23,-0.57,-0.35,-0.26,1.65,2.44,0.34,1.11,28.34,0.9,1012.95,1015.086,1015.844,247.388,-53.521,-2.903,0.478,1.178,1.239,-0.016,-0.016,-0.095,-1.942,3.78,0.69,0.51,0.52
8,1.81,-0.81,1.95,0.11,-0.19,0.04,0.119,0.77,0.04,3.0,0.14,-0.13,17,8.0,241.471,1014.752,1012.983,0.41,0.74,0.34,2079,0.5,0.29,-0.22,0.27,0.19,0.28,-0.63,-0.39,2.95,3.53,0.17,-0.24,28.83,0.17,1015.998,1015.921,1015.059,252.439,-53.594,-5.389,-0.256,0.971,0.447,-0.746,0.136,0.112,-3.551,5.455,0.07,-0.37,-0.24
9,1.65,2.44,-0.71,0.09,-0.06,0.04,-0.297,-0.249,0.52,1.19,0.34,-0.43,42,-4.0,244.171,1015.106,1013.484,0.47,-0.45,0.23,1709,-0.2,0.18,0.27,-0.29,-0.2,-0.09,-0.1,-0.22,1.16,-0.48,-0.17,0.62,28.27,0.13,1017.528,1016.202,1012.58,265.262,-53.911,-5.894,0.322,1.057,1.645,-0.867,-0.017,-0.327,-2.436,3.205,-0.06,0.07,0.36
